time,count
2.07018,3.02E+02
2.08971,3.19E+02
2.10924,3.28E+02
2.12877,3.20E+02
2.1483,2.89E+02
2.16783,2.79E+02
2.18736,3.18E+02
2.20689,2.79E+02
2.22642,2.62E+02
2.24595,2.45E+02
2.26548,2.45E+02
2.28501,2.37E+02
2.30454,2.46E+02
2.32407,2.66E+02
2.3436,2.31E+02
2.36313,2.35E+02
2.38266,1.85E+02
2.40219,2.35E+02
2.42172,2.31E+02
2.44125,2.41E+02
2.46078,2.04E+02
2.48031,2.05E+02
2.49984,2.11E+02
2.51937,2.01E+02
2.5389,2.01E+02
2.55843,2.21E+02
2.57796,1.92E+02
2.59749,2.06E+02
2.61702,2.10E+02
2.63655,1.77E+02
2.65608,1.99E+02
2.67561,1.61E+02
2.69514,2.06E+02
2.71467,1.58E+02
2.7342,1.68E+02
2.75373,1.56E+02
2.77326,1.44E+02
2.79279,1.48E+02
2.81232,1.33E+02
2.83185,1.71E+02
2.85138,1.40E+02
2.87091,1.64E+02
2.89044,1.54E+02
2.90997,1.49E+02
2.9295,1.29E+02
2.94903,1.43E+02
2.96856,1.59E+02
2.98809,1.42E+02
3.00762,1.41E+02
3.02715,1.35E+02
3.04668,1.29E+02
3.06621,1.25E+02
3.08574,1.17E+02
3.10527,1.33E+02
3.1248,1.31E+02
3.14433,1.30E+02
3.16386,1.21E+02
3.18339,1.27E+02
3.20292,1.37E+02
3.22245,1.05E+02
3.24198,1.12E+02
3.26151,1.10E+02
3.28104,1.04E+02
3.30057,1.06E+02
3.3201,9.50E+01
3.33963,9.20E+01
3.35916,1.14E+02
3.37869,1.01E+02
3.39822,9.70E+01
3.41775,8.50E+01
3.43728,1.07E+02
3.45681,8.40E+01
3.47634,9.40E+01
3.49587,1.07E+02
3.5154,9.70E+01
3.53493,8.90E+01
3.55446,9.60E+01
3.57399,9.70E+01
3.59352,7.10E+01
3.61305,8.30E+01
3.63258,8.50E+01
3.65211,7.40E+01
3.67164,9.10E+01
3.69117,7.30E+01
3.7107,7.50E+01
3.73023,6.70E+01
3.74976,8.00E+01
3.76929,6.70E+01
3.78882,7.20E+01
3.80835,7.40E+01
3.82788,8.20E+01
3.84741,7.40E+01
3.86694,7.60E+01
3.88647,8.10E+01
3.906,7.90E+01
3.92553,6.90E+01
3.94506,6.50E+01
3.96459,5.50E+01
3.98412,7.10E+01
4.00365,6.20E+01
4.02318,6.70E+01
4.04271,6.30E+01
4.06224,6.60E+01
4.08177,5.70E+01
4.1013,5.50E+01
4.12083,6.70E+01
4.14036,6.10E+01
4.15989,6.70E+01
4.17942,5.40E+01
4.19895,7.00E+01
4.21848,6.40E+01
4.23801,5.80E+01
4.25754,5.40E+01
4.27707,5.90E+01
4.2966,6.30E+01
4.31613,4.40E+01
4.33566,5.90E+01
4.35519,4.80E+01
4.37472,3.80E+01
4.39425,4.70E+01
4.41378,4.90E+01
4.43331,6.00E+01
4.45284,5.00E+01
4.47237,4.70E+01
4.4919,5.10E+01
4.51143,4.70E+01
4.53096,4.90E+01
4.55049,4.90E+01
4.57002,5.50E+01
4.58955,5.00E+01
4.60908,4.40E+01
4.62861,4.70E+01
4.64814,4.70E+01
4.66767,4.70E+01
4.6872,4.40E+01
4.70673,3.70E+01
4.72626,4.80E+01
4.74579,3.20E+01
4.76532,4.20E+01
4.78485,3.70E+01
4.80438,4.70E+01
4.82391,5.00E+01
4.84344,4.30E+01
4.86297,3.50E+01
4.8825,3.20E+01
4.90203,3.40E+01
4.92156,3.60E+01
4.94109,4.30E+01
4.96062,3.80E+01
4.98015,4.60E+01
4.99968,3.40E+01
5.01921,3.60E+01
5.03874,3.30E+01
5.05827,4.80E+01
5.0778,3.70E+01
