t1,V1,I1,t2,V2,I2
2.023775995,0.600372314,3.04016E-07,2.048796995,0.600372314,4.10889E-06
2.033775995,0.600402832,3.03314E-07,2.058796995,0.600402832,4.09149E-06
2.043775995,0.600372314,2.99622E-07,2.068796995,0.600372314,4.08051E-06
2.053775995,0.600372314,3.02765E-07,2.078796995,0.600341797,4.06311E-06
2.063775995,0.60043335,2.98096E-07,2.088796995,0.600372314,4.04907E-06
2.073775995,0.600402832,2.98218E-07,2.098796995,0.600372314,4.03687E-06
2.083775995,0.600372314,2.96997E-07,2.108796995,0.600341797,4.02008E-06
2.093775995,0.600372314,2.94495E-07,2.118796995,0.600402832,4.01031E-06
2.103775995,0.600372314,2.96051E-07,2.128796995,0.600402832,3.99384E-06
2.113775995,0.600402832,2.92053E-07,2.138796995,0.600372314,3.98102E-06
2.123775995,0.600402832,2.93152E-07,2.148796995,0.600402832,3.96881E-06
2.133775995,0.60043335,2.91382E-07,2.158796995,0.600372314,3.95325E-06
2.143775995,0.600463867,2.8894E-07,2.168796995,0.600341797,3.94348E-06
2.153775995,0.600402832,2.90924E-07,2.178796994,0.600402832,3.92792E-06
2.163775995,0.600402832,2.86682E-07,2.188796994,0.60043335,3.91602E-06
2.173775995,0.600402832,2.8772E-07,2.198796994,0.600372314,3.90472E-06
2.183775994,0.600372314,2.86896E-07,2.208796994,0.600372314,3.88916E-06
2.193775994,0.600372314,2.84485E-07,2.218796994,0.600372314,3.88E-06
2.203775994,0.60043335,2.86316E-07,2.228796994,0.600372314,3.86536E-06
2.213775994,0.600402832,2.81708E-07,2.238796994,0.600372314,3.85406E-06
2.223775994,0.60043335,2.82806E-07,2.248796994,0.600341797,3.84308E-06
2.233775994,0.600402832,2.8183E-07,2.258796994,0.600402832,3.82874E-06
2.243775994,0.600372314,2.79114E-07,2.268796994,0.600341797,3.8205E-06
2.253775994,0.600402832,2.81067E-07,2.278796994,0.600372314,3.80585E-06
2.263775994,0.60043335,2.77618E-07,2.288796994,0.600372314,3.79547E-06
2.273775994,0.60043335,2.79907E-07,2.298796994,0.600372314,3.78571E-06
2.283775994,0.600372314,2.77405E-07,2.308796994,0.600341797,3.77197E-06
2.293775994,0.600372314,2.74597E-07,2.318796994,0.600311279,3.76343E-06
2.303775994,0.600372314,2.771E-07,2.328796994,0.600463867,0.00000375
2.313775994,0.600402832,2.73407E-07,2.338796994,0.600341797,3.73932E-06
2.323775994,0.600341797,2.74323E-07,2.348796994,0.600341797,3.73077E-06
2.333775994,0.600402832,2.73376E-07,2.358796994,0.600341797,3.71674E-06
2.343775994,0.600402832,2.7063E-07,2.368796994,0.600372314,3.70941E-06
2.353775994,0.60043335,2.72491E-07,2.378796994,0.600341797,3.69629E-06
2.363775994,0.60043335,2.68616E-07,2.388796994,0.600372314,3.68622E-06
2.373775994,0.600402832,2.69958E-07,2.398796994,0.600341797,3.67767E-06
2.383775994,0.600402832,2.68341E-07,2.408796994,0.600372314,3.66425E-06
2.393775994,0.600463867,2.66968E-07,2.418796994,0.600402832,3.65814E-06
2.403775994,0.600372314,2.68738E-07,2.428796994,0.60043335,3.64502E-06
2.413775994,0.60043335,2.64526E-07,2.438796994,0.600311279,3.63586E-06
2.423775994,0.600372314,2.66174E-07,2.448796994,0.600341797,3.62854E-06
2.433775994,0.600402832,2.64923E-07,2.458796994,0.600372314,3.61542E-06
2.443775994,0.600402832,2.63031E-07,2.468796994,0.600402832,3.6087E-06
2.453775994,0.600402832,2.64374E-07,2.478796994,0.600402832,3.59619E-06
2.463775994,0.600402832,2.61444E-07,2.488796994,0.600372314,3.58704E-06
2.473775994,0.600402832,2.62543E-07,2.498796994,0.600341797,3.5791E-06
2.483775994,0.60043335,2.61261E-07,2.508796994,0.600402832,3.5672E-06
2.493775994,0.600463867,2.59369E-07,2.518796994,0.600402832,3.5611E-06
2.503775994,0.600372314,2.61658E-07,2.528796994,0.60043335,3.5495E-06
2.513775994,0.600402832,2.57233E-07,2.538796994,0.600402832,3.54065E-06
2.523775994,0.600341797,2.5882E-07,2.548796994,0.600372314,3.53302E-06
2.533775994,0.600341797,2.57996E-07,2.558796994,0.600372314,3.52142E-06
2.543775994,0.60043335,2.56134E-07,2.568796994,0.600372314,3.51624E-06
