V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.239257813,-3.67828E-06,-0.239257813,-3.56171E-06,-0.239257813,-3.49701E-06,-0.239257813,-3.68866E-06
-0.241699219,-3.66608E-06,-0.241699219,-3.55133E-06,-0.241699219,-3.48907E-06,-0.241699219,-3.6792E-06
-0.244140625,-3.65295E-06,-0.244140625,-3.54065E-06,-0.244140625,-3.47839E-06,-0.244140625,-3.67126E-06
-0.246582031,-3.63983E-06,-0.246582031,-3.53058E-06,-0.246582031,-3.46832E-06,-0.246582031,-3.6615E-06
-0.249023438,-3.62732E-06,-0.249023438,-3.52142E-06,-0.249023438,-3.45795E-06,-0.249023438,-3.65417E-06
-0.251464844,-3.61389E-06,-0.251464844,-3.51074E-06,-0.251464844,-3.45001E-06,-0.251464844,-3.64532E-06
-0.25390625,-3.60077E-06,-0.25390625,-3.50128E-06,-0.25390625,-3.43994E-06,-0.25390625,-3.63922E-06
-0.256347656,-3.58704E-06,-0.256347656,-3.4903E-06,-0.256347656,-3.43018E-06,-0.256347656,-3.63159E-06
-0.258789063,-3.5733E-06,-0.258789063,-3.48022E-06,-0.258789063,-3.4198E-06,-0.258789063,-3.62305E-06
-0.261230469,-3.56293E-06,-0.261230469,-3.46924E-06,-0.261230469,-3.40942E-06,-0.261230469,-3.61603E-06
-0.263671875,-3.5495E-06,-0.263671875,-3.45795E-06,-0.263671875,-3.40179E-06,-0.263671875,-3.60901E-06
-0.266113281,-3.53821E-06,-0.266113281,-3.44696E-06,-0.266113281,-3.39172E-06,-0.266113281,-3.59985E-06
-0.268554688,-3.52692E-06,-0.268554688,-3.43781E-06,-0.268554688,-3.38348E-06,-0.268554688,-3.59161E-06
-0.270996094,-3.51471E-06,-0.270996094,-3.42896E-06,-0.270996094,-3.37463E-06,-0.270996094,-3.58429E-06
-0.2734375,-3.50342E-06,-0.2734375,-3.4198E-06,-0.2734375,-3.36639E-06,-0.2734375,-3.57635E-06
-0.275878906,-3.49335E-06,-0.275878906,-3.41064E-06,-0.275878906,-3.35907E-06,-0.275878906,-3.56995E-06
-0.278320313,-3.48145E-06,-0.278320313,-3.4021E-06,-0.278320313,-3.34991E-06,-0.278320313,-3.5614E-06
-0.280761719,-3.46954E-06,-0.280761719,-3.39264E-06,-0.280761719,-3.34259E-06,-0.280761719,-3.5553E-06
-0.283203125,-3.45764E-06,-0.283203125,-3.38409E-06,-0.283203125,-3.33557E-06,-0.283203125,-3.55011E-06
-0.285644531,-3.44452E-06,-0.285644531,-3.37585E-06,-0.285644531,-3.32733E-06,-0.285644531,-3.54462E-06
