t,I
0.353579977,1.91925
0.353359163,1.91437
0.353138763,1.91711
0.352918774,1.91345
0.352699196,1.91223
0.352480027,1.91284
0.352261267,1.90887
0.352042913,1.91132
0.351824965,1.90765
0.351607421,1.90704
0.35139028,1.90796
0.351173541,1.90399
0.350957202,1.90582
0.350741263,1.90247
0.350525722,1.90094
0.350310578,1.90338
0.350095829,1.8985
0.349881475,1.90033
0.349667514,1.89697
0.349453945,1.89606
0.349240767,1.89728
0.349027979,1.89301
0.348815579,1.89545
0.348603567,1.8924
0.34839194,1.89117
0.348180699,1.89178
0.347969841,1.88782
0.347759366,1.89026
0.347549272,1.8869
0.347339559,1.88538
0.347130225,1.88751
0.346921269,1.88232
0.34671269,1.88568
0.346504486,1.88141
0.346296658,1.8808
0.346089202,1.88202
0.345882119,1.87744
0.345675408,1.88019
0.345469066,1.87653
0.345263094,1.87592
0.34505749,1.87683
0.344852252,1.87286
0.34464738,1.875
0.344442873,1.87134
0.34423873,1.86981
0.344034949,1.87164
0.34383153,1.86768
0.343628471,1.86981
0.343425771,1.86615
0.34322343,1.86584
0.343021445,1.86707
0.342819817,1.86218
0.342618545,1.86432
0.342417626,1.86096
0.34221706,1.86127
0.342016847,1.86188
0.341816984,1.8576
0.341617471,1.85974
0.341418307,1.85669
0.341219492,1.85608
0.341021023,1.85669
0.3408229,1.85303
0.340625122,1.85486
0.340427687,1.85181
0.340230596,1.8512
0.340033847,1.85211
0.339837438,1.84784
0.33964137,1.85059
0.339445641,1.84662
0.339250249,1.84631
0.339055195,1.84692
0.338860476,1.84296
0.338666093,1.84509
0.338472044,1.84174
0.338278328,1.84143
0.338084944,1.84296
0.337891892,1.83807
0.337699169,1.84082
0.337506777,1.83746
0.337314712,1.83685
0.337122976,1.83777
0.336931565,1.8338
0.336740481,1.83655
0.336549721,1.83228
0.336359285,1.83136
0.336169172,1.83319
0.335979381,1.82861
0.335789911,1.83167
0.335600761,1.8277
0.335411931,1.82739
0.335223419,1.82831
0.335035224,1.82373
0.334847346,1.82709
0.334659784,1.82281
0.334472536,1.82281
0.334285603,1.82404
0.334098982,1.81976
0.333912674,1.8219
0.333726677,1.81885
0.333540991,1.81854
0.333355614,1.81885
0.333170546,1.81549
0.332985785,1.81793
0.332801332,1.81427
0.332617185,1.81366
0.332433344,1.81458
0.332249807,1.81152
0.332066573,1.81305
0.331883642,1.81
0.331701014,1.80939
0.331518686,1.81091
0.331336659,1.80603
0.331154931,1.80908
0.330973502,1.80573
0.330792371,1.80511
0.330611537,1.80603
0.330430999,1.80145
