V_2,I_2,V_3,I_3
0.432128906,2.54333E-06,0.432128906,2.50275E-06
0.434570313,2.55127E-06,0.434570313,2.4881E-06
0.437011719,2.5592E-06,0.437011719,2.47437E-06
0.439453125,2.56653E-06,0.439453125,2.46094E-06
0.441894531,2.57416E-06,0.441894531,2.44751E-06
0.444335938,2.5827E-06,0.444335938,2.43469E-06
0.446777344,2.59064E-06,0.446777344,2.42279E-06
0.44921875,2.59857E-06,0.44921875,2.41089E-06
0.451660156,2.60712E-06,0.451660156,2.3999E-06
0.454101563,2.61536E-06,0.454101563,2.38861E-06
0.456542969,2.62512E-06,0.456542969,2.37885E-06
0.458984375,2.63428E-06,0.458984375,2.36938E-06
0.461425781,2.64343E-06,0.461425781,2.36084E-06
0.463867188,2.6535E-06,0.463867188,2.3526E-06
0.466308594,2.66357E-06,0.466308594,2.34467E-06
0.46875,2.67365E-06,0.46875,2.33704E-06
0.471191406,2.68402E-06,0.471191406,2.33002E-06
0.473632813,2.6947E-06,0.473632813,2.323E-06
0.476074219,2.70447E-06,0.476074219,2.31628E-06
0.478515625,2.71515E-06,0.478515625,2.31049E-06
0.480957031,2.72552E-06,0.480957031,2.30408E-06
0.483398438,2.73499E-06,0.483398438,2.29797E-06
0.485839844,2.74536E-06,0.485839844,2.29309E-06
0.48828125,2.75635E-06,0.48828125,2.2879E-06
0.490722656,2.76733E-06,0.490722656,2.28363E-06
0.493164063,2.77893E-06,0.493164063,2.28027E-06
0.495605469,2.79083E-06,0.495605469,2.27753E-06
0.498046875,2.80212E-06,0.498046875,2.27448E-06
0.500488281,2.81464E-06,0.500488281,2.27295E-06
0.502929688,2.82654E-06,0.502929688,2.27112E-06
0.505371094,2.83905E-06,0.505371094,2.26959E-06
0.5078125,2.85156E-06,0.5078125,2.26868E-06
0.510253906,2.86377E-06,0.510253906,2.26837E-06
0.512695313,2.87628E-06,0.512695313,2.26807E-06
0.515136719,2.88879E-06,0.515136719,2.26898E-06
0.517578125,2.901E-06,0.517578125,2.26929E-06
0.520019531,2.91321E-06,0.520019531,2.2702E-06
0.522460938,2.92664E-06,0.522460938,2.27173E-06
0.524902344,2.93976E-06,0.524902344,2.27417E-06
0.52734375,2.95349E-06,0.52734375,2.27722E-06
0.529785156,2.96722E-06,0.529785156,2.28119E-06
0.532226563,2.98126E-06,0.532226563,2.28577E-06
0.534667969,2.99561E-06,0.534667969,2.29065E-06
0.537109375,3.01056E-06,0.537109375,2.29614E-06
0.539550781,3.02551E-06,0.539550781,2.30194E-06
0.541992188,3.04108E-06,0.541992188,2.30835E-06
0.544433594,3.05603E-06,0.544433594,2.31445E-06
0.546875,3.07098E-06,0.546875,2.32147E-06
