V_KCl,I_KCl
0,7.54395E-08
0.002441406,9.25598E-08
0.004882813,1.08124E-07
0.007324219,1.2439E-07
0.009765625,1.39832E-07
0.012207031,1.55396E-07
0.014648438,1.71967E-07
0.017089844,1.87561E-07
0.01953125,2.04041E-07
0.021972656,2.20276E-07
0.024414063,2.36237E-07
0.026855469,2.5177E-07
0.029296875,2.6651E-07
0.031738281,2.81158E-07
0.034179688,2.94952E-07
0.036621094,3.0896E-07
0.0390625,3.22083E-07
0.041503906,3.35266E-07
0.043945313,3.49457E-07
0.046386719,3.61725E-07
0.048828125,3.74817E-07
0.051269531,3.88733E-07
0.053710938,4.01672E-07
0.056152344,4.15375E-07
0.05859375,4.28406E-07
0.061035156,4.40033E-07
0.063476563,4.52271E-07
0.065917969,4.64478E-07
0.068359375,4.74243E-07
0.070800781,4.8584E-07
0.073242188,4.95911E-07
0.075683594,5.05981E-07
0.078125,5.16052E-07
0.080566406,5.27344E-07
0.083007813,5.36194E-07
0.085449219,5.46875E-07
0.087890625,5.5603E-07
0.090332031,5.67322E-07
0.092773438,5.76782E-07
0.095214844,5.86548E-07
0.09765625,5.95093E-07
0.100097656,6.03638E-07
0.102539063,6.12183E-07
0.104980469,6.19507E-07
0.107421875,6.27747E-07
0.109863281,6.35681E-07
0.112304688,6.427E-07
0.114746094,6.50024E-07
0.1171875,6.57654E-07
0.119628906,6.65894E-07
0.122070313,6.73218E-07
0.124511719,6.81152E-07
0.126953125,6.88782E-07
0.129394531,6.96716E-07
0.131835938,7.0343E-07
0.134277344,7.09534E-07
0.13671875,7.16248E-07
0.139160156,7.22351E-07
0.141601563,7.28455E-07
0.144042969,7.34558E-07
0.146484375,7.39136E-07
0.148925781,7.45544E-07
0.151367188,7.51648E-07
0.153808594,7.57446E-07
0.15625,7.64465E-07
0.158691406,7.71179E-07
0.161132813,7.77588E-07
0.163574219,7.84302E-07
0.166015625,7.8949E-07
0.168457031,7.94983E-07
0.170898438,8.01392E-07
0.173339844,8.05359E-07
0.17578125,8.10547E-07
0.178222656,8.15735E-07
0.180664063,8.20618E-07
0.183105469,8.255E-07
0.185546875,8.30688E-07
0.187988281,8.36182E-07
0.190429688,8.4137E-07
0.192871094,8.48083E-07
0.1953125,8.53882E-07
0.197753906,8.5968E-07
0.200195313,8.64868E-07
0.202636719,8.69751E-07
0.205078125,8.74634E-07
0.207519531,8.78906E-07
0.209960938,8.83789E-07
0.212402344,8.88062E-07
0.21484375,8.92029E-07
0.217285156,8.96912E-07
0.219726563,9.01489E-07
0.222167969,9.06677E-07
0.224609375,9.11255E-07
0.227050781,9.16748E-07
0.229492188,9.22241E-07
0.231933594,9.28345E-07
0.234375,9.31702E-07
0.236816406,9.37195E-07
0.239257813,9.42078E-07
0.241699219,9.45435E-07
0.244140625,9.49402E-07
0.246582031,9.53674E-07
0.249023438,9.58252E-07
0.251464844,9.62219E-07
0.25390625,9.65271E-07
0.256347656,9.70459E-07
0.258789063,9.74426E-07
0.261230469,9.79614E-07
0.263671875,9.84192E-07
0.266113281,9.89075E-07
0.268554688,9.93347E-07
0.270996094,9.97314E-07
0.2734375,1.0025E-06
0.275878906,1.00586E-06
0.278320313,1.00952E-06
0.280761719,1.01318E-06
0.283203125,1.01654E-06
0.285644531,1.02051E-06
0.288085938,1.02356E-06
0.290527344,1.02692E-06
0.29296875,1.03119E-06
0.295410156,1.03516E-06
0.297851563,1.04004E-06
0.300292969,1.04492E-06
0.302734375,1.04889E-06
0.305175781,1.05194E-06
0.307617188,1.05621E-06
0.310058594,1.05865E-06
0.3125,1.06201E-06
0.314941406,1.06506E-06
0.317382813,1.06873E-06
0.319824219,1.07086E-06
0.322265625,1.0733E-06
0.324707031,1.07666E-06
0.327148438,1.08002E-06
0.329589844,1.08429E-06
0.33203125,1.08673E-06
0.334472656,1.0907E-06
0.336914063,1.09406E-06
0.339355469,1.09741E-06
0.341796875,1.09955E-06
0.344238281,1.1026E-06
0.346679688,1.10443E-06
0.349121094,1.10687E-06
0.3515625,1.1087E-06
0.354003906,1.11115E-06
0.356445313,1.11359E-06
0.358886719,1.11481E-06
0.361328125,1.11694E-06
0.363769531,1.11969E-06
0.366210938,1.12213E-06
0.368652344,1.12518E-06
0.37109375,1.12701E-06
0.373535156,1.12976E-06
0.375976563,1.1319E-06
0.378417969,1.13312E-06
0.380859375,1.13373E-06
0.383300781,1.13495E-06
0.385742188,1.13617E-06
0.388183594,1.13739E-06
0.390625,1.1377E-06
0.393066406,1.13861E-06
0.395507813,1.14044E-06
0.397949219,1.14105E-06
0.400390625,1.14197E-06
0.402832031,1.14441E-06
0.405273438,1.14563E-06
0.407714844,1.14594E-06
0.41015625,1.14655E-06
0.412597656,1.14624E-06
0.415039063,1.14624E-06
0.417480469,1.14685E-06
0.419921875,1.14594E-06
0.422363281,1.14594E-06
0.424804688,1.14441E-06
0.427246094,1.14471E-06
0.4296875,1.14319E-06
0.432128906,1.14349E-06
0.434570313,1.14319E-06
0.437011719,1.14349E-06
0.439453125,1.14319E-06
0.441894531,1.14288E-06
0.444335938,1.14197E-06
0.446777344,1.14044E-06
0.44921875,1.13892E-06
0.451660156,1.13739E-06
0.454101563,1.13617E-06
0.456542969,1.13342E-06
0.458984375,1.13159E-06
0.461425781,1.12854E-06
0.463867188,1.12701E-06
0.466308594,1.12488E-06
0.46875,1.12366E-06
0.471191406,1.12213E-06
0.473632813,1.12061E-06
0.476074219,1.11908E-06
0.478515625,1.11603E-06
0.480957031,1.11328E-06
0.483398438,1.11115E-06
0.485839844,1.1084E-06
0.48828125,1.10504E-06
0.490722656,1.10107E-06
0.493164063,1.09833E-06
0.495605469,1.09467E-06
0.498046875,1.09131E-06
0.500488281,1.08795E-06
0.502929688,1.08521E-06
0.505371094,1.08246E-06
0.5078125,1.08032E-06
0.510253906,1.07697E-06
0.512695313,1.07422E-06
0.515136719,1.07117E-06
0.517578125,1.06659E-06
0.520019531,1.06262E-06
0.522460938,1.05957E-06
0.524902344,1.05499E-06
0.52734375,1.05133E-06
0.529785156,1.04736E-06
0.532226563,1.0434E-06
0.534667969,1.04004E-06
0.537109375,1.03668E-06
0.539550781,1.03271E-06
0.541992188,1.03088E-06
0.544433594,1.02753E-06
0.546875,1.02356E-06
0.549316406,1.0202E-06
0.551757813,1.01624E-06
0.554199219,1.01257E-06
0.556640625,1.00769E-06
0.559082031,1.00403E-06
0.561523438,1.00006E-06
0.563964844,9.95789E-07
0.56640625,9.92126E-07
0.568847656,9.88159E-07
0.571289063,9.84802E-07
0.573730469,9.82361E-07
0.576171875,9.79614E-07
0.578613281,9.75647E-07
0.581054688,9.7229E-07
0.583496094,9.68933E-07
0.5859375,9.65881E-07
0.588378906,9.61914E-07
0.590820313,9.58557E-07
0.593261719,9.5459E-07
0.595703125,9.49707E-07
0.598144531,9.4635E-07
0.600585938,9.43298E-07
0.598144531,8.70361E-07
0.595703125,8.1665E-07
0.593261719,7.73621E-07
0.590820313,7.36084E-07
0.588378906,7.0343E-07
0.5859375,6.75049E-07
0.583496094,6.49109E-07
0.581054688,6.2561E-07
0.578613281,6.04248E-07
0.576171875,5.83191E-07
0.573730469,5.65186E-07
0.571289063,5.4718E-07
0.568847656,5.30396E-07
0.56640625,5.14221E-07
0.563964844,4.99878E-07
0.561523438,4.8645E-07
0.559082031,4.73633E-07
0.556640625,4.61426E-07
0.554199219,4.49219E-07
0.551757813,4.3866E-07
0.549316406,4.28253E-07
0.546875,4.16931E-07
0.544433594,4.05609E-07
0.541992188,3.9505E-07
0.539550781,3.84705E-07
0.537109375,3.73962E-07
0.534667969,3.63251E-07
0.532226563,3.53668E-07
0.529785156,3.44177E-07
0.52734375,3.35266E-07
0.524902344,3.26965E-07
0.522460938,3.18573E-07
0.520019531,3.10486E-07
0.517578125,3.0188E-07
0.515136719,2.94037E-07
0.512695313,2.854E-07
0.510253906,2.76947E-07
0.5078125,2.68433E-07
