V,I
1.261901855,3.99536E-06
1.264343262,4.11407E-06
1.266784668,4.2395E-06
1.269226074,4.36493E-06
1.27166748,4.49524E-06
1.274108887,4.63562E-06
1.276550293,4.76379E-06
1.278991699,4.90417E-06
1.281433105,5.03235E-06
1.283874512,5.17273E-06
1.286315918,5.29785E-06
1.288757324,5.42908E-06
1.29119873,5.55115E-06
1.293640137,5.67627E-06
1.296081543,5.79224E-06
1.298522949,5.91125E-06
1.300964355,6.01807E-06
1.298522949,5.40161E-06
1.296081543,4.89502E-06
1.293640137,4.45251E-06
1.29119873,4.06494E-06
1.288757324,3.71124E-06
1.286315918,3.39417E-06
1.283874512,3.09692E-06
1.281433105,2.83661E-06
1.278991699,2.57782E-06
1.276550293,2.35504E-06
1.274108887,2.13501E-06
1.27166748,1.94183E-06
1.269226074,1.75507E-06
1.266784668,1.5863E-06
1.264343262,1.42578E-06
1.261901855,1.28448E-06
1.259460449,1.15417E-06
1.257019043,1.0257E-06
1.254577637,9.14612E-07
1.25213623,8.08411E-07
1.249694824,7.18994E-07
1.247253418,6.31409E-07
1.244812012,5.59387E-07
1.242370605,4.85535E-07
1.239929199,4.19312E-07
1.237487793,3.54004E-07
1.235046387,3.11279E-07
1.23260498,2.67029E-07
1.230163574,2.32849E-07
1.227722168,1.94946E-07
1.225280762,1.65314E-07
1.222839355,1.42517E-07
1.220397949,1.11389E-07
1.217956543,9.44824E-08
1.215515137,6.98547E-08
1.21307373,6.06079E-08
1.210632324,3.82385E-08
1.208190918,3.88489E-08
1.205749512,1.41296E-08
1.203308105,1.33057E-08
1.200866699,-2.47192E-09
1.198425293,-2.7771E-09
1.195983887,-1.1322E-08
1.19354248,-1.94397E-08
1.191101074,-2.43225E-08
1.188659668,-3.24097E-08
1.186218262,-3.61328E-08
1.183776855,-4.19312E-08
1.181335449,-4.20532E-08
1.178894043,-5.16968E-08
1.176452637,-4.95911E-08
1.17401123,-5.95703E-08
1.171569824,-5.5481E-08
1.169128418,-6.53076E-08
1.166687012,-6.00891E-08
1.164245605,-6.47278E-08
1.161804199,-6.5033E-08
1.159362793,-7.16248E-08
1.156921387,-6.96716E-08
1.15447998,-7.0343E-08
1.152038574,-7.66296E-08
1.149597168,-7.42188E-08
1.147155762,-7.95898E-08
1.144714355,-7.31506E-08
1.142272949,-8.26721E-08
1.139831543,-7.66907E-08
1.137390137,-8.43506E-08
1.13494873,-7.79114E-08
1.132507324,-8.57849E-08
1.130065918,-8.30383E-08
1.127624512,-8.85315E-08
1.125183105,-8.62427E-08
1.122741699,-9.03931E-08
1.120300293,-9.198E-08
1.117858887,-8.86841E-08
1.11541748,-9.42993E-08
1.112976074,-8.99048E-08
1.110534668,-9.729E-08
1.108093262,-9.1095E-08
1.105651855,-1.00098E-07
1.103210449,-9.44214E-08
1.100769043,-1.00281E-07
1.098327637,-9.6283E-08
1.09588623,-1.02051E-07
1.093444824,-1.008E-07
1.091003418,-1.03516E-07
1.088562012,-1.02875E-07
1.086120605,-1.06873E-07
1.083679199,-1.09924E-07
1.081237793,-1.07483E-07
1.078796387,-1.13525E-07
1.07635498,-1.09772E-07
1.073913574,-1.16974E-07
1.071472168,-1.1145E-07
1.069030762,-1.20331E-07
1.066589355,-1.15997E-07
1.064147949,-0.000000125
1.061706543,-1.1969E-07
1.059265137,-1.25183E-07
1.05682373,-1.26862E-07
1.054382324,-1.27991E-07
1.051940918,-1.27625E-07
1.049499512,-1.29364E-07
1.047058105,-1.36475E-07
1.044616699,-1.31989E-07
1.042175293,-1.40015E-07
1.039733887,-1.35742E-07
1.03729248,-1.44623E-07
1.034851074,-1.38336E-07
1.032409668,-1.49445E-07
1.029968262,-1.42273E-07
1.027526855,-1.50116E-07
1.025085449,-1.51733E-07
1.022644043,-1.53809E-07
1.020202637,-1.54663E-07
1.01776123,-1.58264E-07
1.015319824,-1.5918E-07
1.012878418,-1.57776E-07
1.010437012,-1.64917E-07
1.007995605,-1.62506E-07
1.005554199,-1.69769E-07
1.003112793,-1.66046E-07
1.000671387,-1.74377E-07
0.99822998,-1.70044E-07
0.995788574,-1.79291E-07
0.993347168,-1.75018E-07
0.990905762,-1.82404E-07
0.988464355,-1.82373E-07
0.986022949,-1.8335E-07
0.983581543,-1.85181E-07
0.981140137,-1.88934E-07
0.97869873,-1.93909E-07
0.976257324,-1.91406E-07
0.973815918,-1.97998E-07
0.971374512,-1.96899E-07
0.968933105,-2.04895E-07
0.966491699,-2.02271E-07
0.964050293,-2.10266E-07
0.961608887,-2.0636E-07
0.95916748,-2.17255E-07
0.956726074,-2.14142E-07
0.954284668,-2.19452E-07
0.951843262,-2.18536E-07
0.949401855,-2.22961E-07
0.946960449,-2.26685E-07
0.944519043,-2.29828E-07
0.942077637,-2.35901E-07
0.93963623,-2.33612E-07
0.937194824,-2.4118E-07
0.934753418,-2.42126E-07
0.932312012,-2.51068E-07
0.929870605,-2.47925E-07
0.927429199,-2.57477E-07
0.924987793,-2.55035E-07
0.922546387,-2.66754E-07
0.92010498,-2.64252E-07
0.917663574,-2.71362E-07
0.915222168,-2.72675E-07
0.912780762,-2.79694E-07
0.910339355,-2.79968E-07
0.907897949,-2.88849E-07
