V1,I1,V2,I2,V3,I3
0.339355469,9.15527E-06,0.339355469,5.8197E-06,0.339355469,3.39447E-06
0.341796875,9.11255E-06,0.341796875,5.76782E-06,0.341796875,3.38745E-06
0.344238281,9.06372E-06,0.344238281,5.71899E-06,0.344238281,3.38135E-06
0.346679688,9.01184E-06,0.346679688,5.67017E-06,0.346679688,3.37555E-06
0.349121094,8.95081E-06,0.349121094,5.62134E-06,0.349121094,3.37036E-06
0.3515625,8.88672E-06,0.3515625,5.57251E-06,0.3515625,3.36517E-06
0.354003906,8.81653E-06,0.354003906,5.52673E-06,0.354003906,3.36212E-06
0.356445313,8.74329E-06,0.356445313,5.48401E-06,0.356445313,3.35785E-06
0.358886719,8.66394E-06,0.358886719,5.43823E-06,0.358886719,3.35388E-06
0.361328125,8.58154E-06,0.361328125,5.39551E-06,0.361328125,3.35083E-06
0.363769531,8.49915E-06,0.363769531,5.35278E-06,0.363769531,3.34686E-06
0.366210938,8.4137E-06,0.366210938,5.31311E-06,0.366210938,3.34412E-06
0.368652344,8.3252E-06,0.368652344,5.27344E-06,0.368652344,3.34045E-06
0.37109375,8.23364E-06,0.37109375,5.23682E-06,0.37109375,3.33771E-06
0.373535156,8.14209E-06,0.373535156,5.2002E-06,0.373535156,3.33496E-06
0.375976563,8.05054E-06,0.375976563,5.16357E-06,0.375976563,3.33191E-06
0.378417969,7.95898E-06,0.378417969,5.12695E-06,0.378417969,3.32977E-06
0.380859375,7.86743E-06,0.380859375,5.09338E-06,0.380859375,3.32733E-06
0.383300781,7.77588E-06,0.383300781,5.05981E-06,0.383300781,3.32581E-06
0.385742188,7.68433E-06,0.385742188,5.02625E-06,0.385742188,3.3252E-06
0.388183594,7.59583E-06,0.388183594,4.99268E-06,0.388183594,3.32428E-06
0.390625,7.50732E-06,0.390625,4.96216E-06,0.390625,3.32458E-06
0.393066406,7.41882E-06,0.393066406,4.93011E-06,0.393066406,3.32458E-06
0.395507813,7.33032E-06,0.395507813,4.8996E-06,0.395507813,3.32458E-06
0.397949219,7.24487E-06,0.397949219,4.87061E-06,0.397949219,3.3252E-06
0.400390625,7.15942E-06,0.400390625,4.84222E-06,0.400390625,3.32458E-06
0.402832031,7.07397E-06,0.402832031,4.81445E-06,0.402832031,3.32458E-06
0.405273438,6.99463E-06,0.405273438,4.78821E-06,0.405273438,3.3255E-06
0.407714844,6.91223E-06,0.407714844,4.76227E-06,0.407714844,3.32489E-06
0.41015625,6.83289E-06,0.41015625,4.73724E-06,0.41015625,3.32458E-06
0.412597656,6.75659E-06,0.412597656,4.71313E-06,0.412597656,3.32642E-06
0.415039063,6.6803E-06,0.415039063,4.68903E-06,0.415039063,3.32703E-06
0.417480469,6.60706E-06,0.417480469,4.66675E-06,0.417480469,3.32825E-06
0.419921875,6.53381E-06,0.419921875,4.64355E-06,0.419921875,3.33069E-06
0.422363281,6.46362E-06,0.422363281,4.62128E-06,0.422363281,3.33252E-06
0.424804688,6.39648E-06,0.424804688,4.59961E-06,0.424804688,3.33618E-06
0.427246094,6.32935E-06,0.427246094,4.57855E-06,0.427246094,3.33893E-06
