PFC_V,PFC_I,RHA_V,RHA_I,FDM_V,FDM_I
0.322265625,3.96027E-06,-0.322265625,-8.25806E-06,0.324707031,5.67627E-06
0.324707031,3.92242E-06,-0.324707031,-8.21533E-06,0.327148438,5.60913E-06
0.327148438,3.8855E-06,-0.327148438,-8.17566E-06,0.329589844,5.54199E-06
0.329589844,3.84949E-06,-0.329589844,-8.14209E-06,0.33203125,5.4718E-06
0.33203125,3.81409E-06,-0.33203125,-8.09631E-06,0.334472656,5.40771E-06
0.334472656,3.78113E-06,-0.334472656,-8.05969E-06,0.336914063,5.33752E-06
0.336914063,3.74786E-06,-0.336914063,-8.02612E-06,0.339355469,5.27039E-06
0.339355469,3.71552E-06,-0.339355469,-7.9895E-06,0.341796875,5.20325E-06
0.341796875,3.68439E-06,-0.341796875,-7.95593E-06,0.344238281,5.13611E-06
0.344238281,3.65417E-06,-0.344238281,-7.92542E-06,0.346679688,5.06897E-06
0.346679688,3.62366E-06,-0.346679688,-7.89185E-06,0.349121094,5.00488E-06
0.349121094,3.59436E-06,-0.349121094,-7.85828E-06,0.3515625,4.9408E-06
0.3515625,3.56598E-06,-0.3515625,-7.83081E-06,0.354003906,4.87793E-06
0.354003906,3.53821E-06,-0.354003906,-7.80334E-06,0.356445313,4.8172E-06
0.356445313,3.51105E-06,-0.356445313,-7.77588E-06,0.358886719,4.75861E-06
0.358886719,3.48511E-06,-0.358886719,-7.74841E-06,0.361328125,4.6994E-06
0.361328125,3.45917E-06,-0.361328125,-7.72095E-06,0.363769531,4.64355E-06
0.363769531,3.43475E-06,-0.363769531,-7.69348E-06,0.366210938,4.58984E-06
0.366210938,3.41125E-06,-0.366210938,-7.67212E-06,0.368652344,4.53613E-06
0.368652344,3.38776E-06,-0.368652344,-7.65076E-06,0.37109375,4.48395E-06
0.37109375,3.36517E-06,-0.37109375,-7.62634E-06,0.373535156,4.43359E-06
0.373535156,3.3432E-06,-0.373535156,-7.60498E-06,0.375976563,4.38446E-06
0.375976563,3.32123E-06,-0.375976563,-7.58667E-06,0.378417969,4.33685E-06
0.378417969,3.29987E-06,-0.378417969,-7.56531E-06,0.380859375,4.28955E-06
0.380859375,3.2785E-06,-0.380859375,-7.547E-06,0.383300781,4.245E-06
0.383300781,3.25745E-06,-0.383300781,-7.52869E-06,0.385742188,4.20044E-06
0.385742188,3.23761E-06,-0.385742188,-7.51038E-06,0.388183594,4.15802E-06
0.388183594,3.21716E-06,-0.388183594,-7.49512E-06,0.390625,4.11621E-06
0.390625,3.19763E-06,-0.390625,-7.47986E-06,0.393066406,4.07654E-06
0.393066406,3.1778E-06,-0.393066406,-7.4585E-06,0.395507813,4.03809E-06
0.395507813,3.15918E-06,-0.395507813,-7.44019E-06,0.397949219,4.00085E-06
0.397949219,3.14087E-06,-0.397949219,-7.42188E-06,0.400390625,3.96484E-06
0.400390625,3.12256E-06,-0.400390625,-7.40356E-06,0.402832031,3.92975E-06
0.402832031,3.10608E-06,-0.397949219,-7.2113E-06,0.405273438,3.89618E-06
0.405273438,3.08899E-06,-0.395507813,-7.07703E-06,0.407714844,3.86353E-06
0.407714844,3.07251E-06,-0.393066406,-6.96716E-06,0.41015625,3.83148E-06
0.41015625,3.05573E-06,-0.390625,-6.87561E-06,0.412597656,3.80066E-06
0.412597656,3.03864E-06,-0.388183594,-6.79321E-06,0.415039063,3.77014E-06
0.415039063,3.02216E-06,-0.385742188,-6.71692E-06,0.417480469,3.74054E-06
0.417480469,3.0069E-06,-0.383300781,-6.64673E-06,0.419921875,3.71124E-06
0.419921875,2.98981E-06,-0.380859375,-6.58264E-06,0.422363281,3.68317E-06
0.422363281,2.97424E-06,-0.378417969,-6.52466E-06,0.424804688,3.65631E-06
0.424804688,2.95776E-06,-0.375976563,-6.46667E-06,0.427246094,3.63037E-06
0.427246094,2.9425E-06,-0.373535156,-6.41174E-06,0.4296875,3.60565E-06
0.4296875,2.92755E-06,-0.37109375,-6.36292E-06,0.432128906,3.58124E-06
0.432128906,2.9126E-06,-0.368652344,-6.31409E-06,0.434570313,3.55804E-06
0.434570313,2.89795E-06,-0.366210938,-6.26831E-06,0.437011719,3.53546E-06
0.437011719,2.88422E-06,-0.363769531,-6.22253E-06,0.439453125,3.51349E-06
0.439453125,2.86987E-06,-0.361328125,-6.18286E-06,0.441894531,3.49243E-06
0.441894531,2.85706E-06,-0.358886719,-6.13708E-06,0.444335938,3.47229E-06
0.444335938,2.84241E-06,-0.356445313,-6.10046E-06,0.446777344,3.45184E-06
0.446777344,2.82898E-06,-0.354003906,-6.06079E-06,0.44921875,3.43201E-06
0.44921875,2.81494E-06,-0.3515625,-6.02722E-06,0.451660156,3.41309E-06
0.451660156,2.80151E-06,-0.349121094,-5.98755E-06,0.454101563,3.39447E-06
0.454101563,2.78809E-06,-0.346679688,-5.95093E-06,0.456542969,3.37646E-06
0.456542969,2.77405E-06,-0.344238281,-5.91736E-06,0.458984375,3.35876E-06
0.458984375,2.76093E-06,-0.341796875,-5.88074E-06,0.461425781,3.34198E-06
0.461425781,2.7475E-06,-0.339355469,-5.84717E-06,0.463867188,3.32642E-06
0.463867188,2.73529E-06,-0.336914063,-5.81055E-06,0.466308594,3.31116E-06
0.466308594,2.72186E-06,-0.334472656,-5.77698E-06,0.46875,3.29651E-06
0.46875,2.70935E-06,-0.33203125,-5.74646E-06,0.471191406,3.28247E-06
0.471191406,2.69745E-06,-0.329589844,-5.71289E-06,0.473632813,3.26965E-06
0.473632813,2.68646E-06,-0.327148438,-5.68237E-06,0.476074219,3.25653E-06
0.476074219,2.67487E-06,-0.324707031,-5.65186E-06,0.478515625,3.24432E-06
0.478515625,2.66296E-06,-0.322265625,-5.62134E-06,0.480957031,3.23242E-06
0.480957031,2.65167E-06,-0.319824219,-5.59082E-06,0.483398438,3.22113E-06
0.483398438,2.64008E-06,-0.317382813,-5.5603E-06,0.485839844,3.21014E-06
0.485839844,2.62848E-06,-0.314941406,-5.52979E-06,0.48828125,3.19916E-06
0.48828125,2.61688E-06,-0.3125,-5.49927E-06,0.490722656,3.18878E-06
0.490722656,2.6059E-06,-0.310058594,-5.4718E-06,0.493164063,3.17963E-06
0.493164063,2.59399E-06,-0.307617188,-5.44128E-06,0.495605469,3.16986E-06
0.495605469,2.58331E-06,-0.305175781,-5.41687E-06,0.498046875,3.16132E-06
0.498046875,2.57172E-06,-0.302734375,-5.3772E-06,0.500488281,3.15369E-06
0.500488281,2.56104E-06,-0.300292969,-5.34668E-06,0.498046875,3.09479E-06
0.502929688,2.55096E-06,-0.297851563,-5.31616E-06,0.495605469,3.05359E-06
0.505371094,2.54059E-06,-0.295410156,-5.28564E-06,0.493164063,3.02002E-06
0.5078125,2.53113E-06,-0.29296875,-5.25208E-06,0.490722656,2.9895E-06
0.510253906,2.52167E-06,-0.290527344,-5.22156E-06,0.48828125,2.96173E-06
0.512695313,2.51221E-06,-0.288085938,-5.18799E-06,0.485839844,2.93671E-06
0.515136719,2.50244E-06,-0.285644531,-5.15442E-06,0.483398438,2.9129E-06
0.517578125,2.49298E-06,-0.283203125,-5.12085E-06,0.480957031,2.89032E-06
0.520019531,2.48322E-06,-0.280761719,-5.08728E-06,0.478515625,2.86896E-06
0.522460938,2.47314E-06,-0.278320313,-5.05066E-06,0.476074219,2.84882E-06
0.524902344,2.46368E-06,-0.275878906,-5.01404E-06,0.473632813,2.82898E-06
0.52734375,2.45422E-06,-0.2734375,-4.97437E-06,0.471191406,2.81036E-06
0.529785156,2.44446E-06,-0.270996094,-4.93378E-06,0.46875,2.79144E-06
0.532226563,2.43561E-06,-0.268554688,-4.888E-06,0.466308594,2.77435E-06
0.534667969,2.42706E-06,-0.266113281,-4.84314E-06,0.463867188,2.75757E-06
0.537109375,2.41791E-06,-0.263671875,-4.79614E-06,0.461425781,2.74139E-06
0.539550781,2.41028E-06,-0.261230469,-4.7467E-06,0.458984375,2.72644E-06
0.541992188,2.40204E-06,-0.258789063,-4.69574E-06,0.456542969,2.71179E-06
0.544433594,2.3941E-06,-0.256347656,-4.64142E-06,0.454101563,2.69714E-06
0.546875,2.38647E-06,-0.25390625,-4.58588E-06,0.451660156,2.68311E-06
0.549316406,2.37854E-06,-0.251464844,-4.52545E-06,0.44921875,2.66937E-06
