z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.34E-08,1.53E-11,9.23E-08,9.31E-17,9.02E-08,3.05E-12,3.70E-11,1.56E-10,4.36E-08,6.10E-12
7.34E-08,9.16E-12,9.23E-08,9.16E-12,9.02E-08,1.22E-11,4.29E-11,1.59E-10,4.36E-08,1.22E-11
7.34E-08,1.22E-11,9.23E-08,1.22E-11,9.02E-08,1.53E-11,4.88E-11,1.40E-10,4.36E-08,1.83E-11
7.34E-08,1.53E-11,9.23E-08,1.22E-11,9.02E-08,3.05E-12,5.47E-11,1.40E-10,4.36E-08,1.22E-11
7.34E-08,6.10E-12,9.24E-08,6.10E-12,9.02E-08,1.22E-11,6.06E-11,1.37E-10,4.36E-08,6.10E-12
7.34E-08,2.14E-11,9.24E-08,2.44E-11,9.02E-08,6.10E-12,6.64E-11,1.40E-10,4.36E-08,6.10E-12
7.34E-08,6.10E-12,9.24E-08,1.83E-11,9.02E-08,1.22E-11,7.23E-11,1.40E-10,4.36E-08,1.83E-11
7.34E-08,1.53E-11,9.24E-08,2.14E-11,9.02E-08,9.16E-12,7.82E-11,1.62E-10,4.36E-08,1.22E-11
7.34E-08,2.14E-11,9.24E-08,-6.10E-12,9.02E-08,9.16E-12,8.41E-11,1.25E-10,4.36E-08,2.14E-11
7.34E-08,9.16E-12,9.24E-08,2.44E-11,9.02E-08,3.05E-12,9.00E-11,1.13E-10,4.36E-08,1.22E-11
7.34E-08,9.31E-17,9.24E-08,1.22E-11,9.02E-08,1.22E-11,9.59E-11,1.04E-10,4.36E-08,2.44E-11
7.34E-08,9.16E-12,9.24E-08,2.14E-11,9.02E-08,-3.05E-12,1.02E-10,1.22E-10,4.37E-08,9.31E-17
7.34E-08,1.22E-11,9.24E-08,1.22E-11,9.03E-08,3.05E-12,1.08E-10,1.22E-10,4.37E-08,1.22E-11
7.35E-08,1.83E-11,9.24E-08,1.22E-11,9.03E-08,-3.05E-12,1.13E-10,1.28E-10,4.37E-08,1.53E-11
7.35E-08,1.22E-11,9.24E-08,1.53E-11,9.03E-08,6.10E-12,1.19E-10,1.25E-10,4.37E-08,2.14E-11
7.35E-08,1.83E-11,9.24E-08,2.14E-11,9.03E-08,-6.10E-12,1.25E-10,1.37E-10,4.37E-08,6.10E-12
7.35E-08,2.75E-11,9.24E-08,1.22E-11,9.03E-08,1.22E-11,1.31E-10,1.37E-10,4.37E-08,3.05E-11
7.35E-08,1.22E-11,9.24E-08,9.31E-17,9.03E-08,9.31E-17,1.37E-10,1.28E-10,4.37E-08,1.83E-11
7.35E-08,1.83E-11,9.24E-08,1.22E-11,9.03E-08,9.16E-12,1.43E-10,1.07E-10,4.37E-08,2.75E-11
7.35E-08,9.31E-17,9.24E-08,1.83E-11,9.03E-08,9.16E-12,1.49E-10,1.28E-10,4.37E-08,1.22E-11
7.35E-08,1.22E-11,9.24E-08,1.53E-11,9.03E-08,3.05E-12,1.55E-10,1.22E-10,4.37E-08,1.83E-11
7.35E-08,1.53E-11,9.25E-08,1.22E-11,9.03E-08,9.31E-17,1.61E-10,1.34E-10,4.37E-08,4.58E-11
7.35E-08,1.53E-11,9.25E-08,2.75E-11,9.03E-08,1.22E-11,1.66E-10,1.43E-10,4.37E-08,5.80E-11
7.35E-08,6.10E-12,9.25E-08,1.22E-11,9.03E-08,6.10E-12,1.72E-10,1.62E-10,4.37E-08,5.49E-11
7.35E-08,2.14E-11,9.25E-08,1.22E-11,9.03E-08,1.53E-11,1.78E-10,1.25E-10,4.37E-08,7.02E-11
7.35E-08,1.22E-11,9.25E-08,6.10E-12,9.03E-08,-1.53E-11,1.84E-10,1.25E-10,4.37E-08,5.80E-11
7.35E-08,6.10E-12,9.25E-08,1.83E-11,9.03E-08,6.10E-12,1.90E-10,9.46E-11,4.37E-08,5.19E-11
7.35E-08,3.05E-12,9.25E-08,9.16E-12,9.03E-08,1.22E-11,1.96E-10,1.31E-10,4.37E-08,3.36E-11
7.35E-08,9.16E-12,9.25E-08,2.14E-11,9.03E-08,1.53E-11,2.02E-10,1.25E-10,4.38E-08,7.32E-11
7.35E-08,1.22E-11,9.25E-08,6.10E-12,9.04E-08,6.10E-12,2.08E-10,1.22E-10,4.38E-08,6.10E-11
7.36E-08,6.10E-12,9.25E-08,1.53E-11,9.04E-08,9.16E-12,2.13E-10,1.31E-10,4.38E-08,5.80E-11
7.36E-08,9.16E-12,9.25E-08,1.53E-11,9.04E-08,6.10E-12,2.19E-10,1.22E-10,4.38E-08,7.02E-11
7.36E-08,1.22E-11,9.25E-08,1.83E-11,9.04E-08,6.10E-12,2.25E-10,1.28E-10,4.38E-08,5.49E-11
7.36E-08,6.10E-12,9.25E-08,9.16E-12,9.04E-08,1.53E-11,2.31E-10,1.31E-10,4.38E-08,6.10E-11
7.36E-08,2.14E-11,9.25E-08,1.53E-11,9.04E-08,-3.05E-12,2.37E-10,1.40E-10,4.38E-08,6.10E-11
7.36E-08,-3.05E-12,9.25E-08,2.14E-11,9.04E-08,2.14E-11,2.43E-10,1.19E-10,4.38E-08,7.02E-11
7.36E-08,1.22E-11,9.25E-08,2.14E-11,9.04E-08,9.16E-12,2.49E-10,1.34E-10,4.38E-08,5.49E-11
7.36E-08,6.10E-12,9.25E-08,3.05E-12,9.04E-08,1.53E-11,2.55E-10,1.34E-10,4.38E-08,7.93E-11
7.36E-08,1.53E-11,9.26E-08,2.44E-11,9.04E-08,1.22E-11,2.61E-10,1.34E-10,4.38E-08,7.93E-11
7.36E-08,1.22E-11,9.26E-08,1.53E-11,9.04E-08,6.10E-12,2.66E-10,1.34E-10,4.38E-08,6.71E-11
