V1,I1,V2,I2,I3,I4,I5
7.84E-04,-2.75E-11,7.84E-03,2.69E-10,1.59E-10,1.34E-10,1.13E-10
2.35E-03,9.16E-12,2.35E-02,3.14E-10,1.98E-10,1.83E-10,1.46E-10
3.92E-03,3.05E-12,3.92E-02,3.02E-10,1.62E-10,1.59E-10,1.40E-10
5.49E-03,1.53E-11,5.49E-02,2.66E-10,1.86E-10,1.83E-10,1.68E-10
7.06E-03,6.41E-11,7.06E-02,2.53E-10,1.92E-10,4.39E-10,1.56E-10
8.63E-03,3.66E-11,8.63E-02,2.50E-10,1.83E-10,2.84E-10,4.76E-10
1.02E-02,3.36E-11,1.02E-01,2.81E-10,4.94E-10,2.84E-10,2.53E-10
1.18E-02,3.05E-11,1.18E-01,2.75E-10,3.20E-10,2.38E-10,2.32E-10
1.33E-02,1.53E-11,1.33E-01,2.93E-10,3.17E-10,2.20E-10,1.95E-10
1.49E-02,6.10E-12,1.49E-01,5.62E-10,2.93E-10,2.11E-10,1.71E-10
1.65E-02,1.83E-11,1.65E-01,3.91E-10,3.02E-10,2.20E-10,1.43E-10
1.80E-02,2.14E-11,1.80E-01,4.09E-10,3.08E-10,2.20E-10,1.37E-10
1.96E-02,1.83E-11,1.96E-01,3.72E-10,3.20E-10,2.23E-10,1.31E-10
2.12E-02,7.32E-11,2.12E-01,3.69E-10,3.23E-10,4.97E-10,1.34E-10
2.27E-02,3.97E-11,2.27E-01,3.88E-10,3.39E-10,3.51E-10,1.43E-10
2.43E-02,3.66E-11,2.43E-01,3.81E-10,3.39E-10,3.27E-10,2.69E-10
2.59E-02,3.05E-11,2.59E-01,3.91E-10,4.79E-10,3.33E-10,2.32E-10
2.75E-02,3.05E-11,2.75E-01,4.88E-10,4.61E-10,2.99E-10,2.14E-10
2.90E-02,3.36E-11,2.90E-01,7.54E-10,4.79E-10,2.81E-10,1.80E-10
3.06E-02,3.36E-11,3.06E-01,5.77E-10,4.46E-10,2.84E-10,1.53E-10
3.22E-02,2.44E-11,3.22E-01,4.91E-10,4.33E-10,2.93E-10,1.31E-10
3.37E-02,3.05E-11,3.37E-01,4.91E-10,4.09E-10,3.11E-10,1.34E-10
3.53E-02,8.54E-11,3.53E-01,5.34E-10,4.03E-10,6.90E-10,1.34E-10
3.69E-02,4.88E-11,3.69E-01,5.68E-10,4.94E-10,6.04E-10,1.34E-10
3.84E-02,5.80E-11,3.84E-01,5.68E-10,5.58E-10,6.01E-10,2.81E-10
4.00E-02,5.19E-11,4.00E-01,5.62E-10,6.81E-10,6.16E-10,2.29E-10
4.16E-02,4.27E-11,4.16E-01,5.77E-10,7.08E-10,5.86E-10,2.20E-10
4.31E-02,3.05E-11,4.31E-01,8.88E-10,7.08E-10,5.52E-10,1.80E-10
4.47E-02,3.97E-11,4.47E-01,7.75E-10,7.26E-10,5.83E-10,1.65E-10
4.63E-02,3.66E-11,4.63E-01,7.26E-10,7.51E-10,5.31E-10,1.46E-10
4.78E-02,4.27E-11,4.78E-01,6.10E-10,7.39E-10,5.92E-10,1.34E-10
4.94E-02,4.58E-11,4.94E-01,5.77E-10,7.26E-10,6.01E-10,1.46E-10
5.10E-02,6.10E-11,5.10E-01,6.50E-10,7.60E-10,7.75E-10,1.43E-10
5.25E-02,5.80E-11,5.25E-01,6.81E-10,7.42E-10,8.70E-10,2.81E-10
5.41E-02,6.10E-11,5.41E-01,7.14E-10,8.24E-10,8.42E-10,2.53E-10
5.57E-02,6.10E-11,5.57E-01,6.44E-10,9.00E-10,7.93E-10,2.23E-10
5.73E-02,6.10E-11,5.73E-01,8.36E-10,8.73E-10,8.15E-10,1.92E-10
5.88E-02,3.97E-11,5.88E-01,8.42E-10,8.09E-10,8.48E-10,1.68E-10
6.04E-02,7.02E-11,6.04E-01,8.18E-10,6.56E-10,9.70E-10,1.43E-10
6.20E-02,5.80E-11,6.20E-01,8.36E-10,6.71E-10,1.06E-09,1.59E-10
6.35E-02,5.49E-11,6.35E-01,6.99E-10,6.62E-10,1.11E-09,1.25E-10
6.51E-02,8.85E-11,6.51E-01,6.71E-10,6.96E-10,1.27E-09,1.40E-10
6.67E-02,7.63E-11,6.67E-01,5.68E-10,9.52E-10,1.32E-09,4.55E-10
6.82E-02,7.32E-11,6.82E-01,5.07E-10,1.31E-09,1.36E-09,2.53E-10
6.98E-02,7.02E-11,6.98E-01,5.13E-10,1.21E-09,1.27E-09,2.38E-10
7.14E-02,8.24E-11,7.14E-01,5.00E-10,1.20E-09,1.41E-09,1.95E-10
7.29E-02,8.24E-11,7.29E-01,7.45E-10,9.86E-10,1.46E-09,1.74E-10
7.45E-02,7.02E-11,7.45E-01,6.71E-10,9.55E-10,1.43E-09,1.46E-10
7.61E-02,7.93E-11,7.61E-01,6.47E-10,8.67E-10,1.44E-09,1.59E-10
7.76E-02,9.16E-11,7.76E-01,5.52E-10,8.85E-10,1.54E-09,1.56E-10
